주성분,복합제구분,복합제성분,약효분류,금기내용,비고,DUR성분영문명,DUR성분코드,병용금기DUR성분코드,병용금기DUR성분명,병용금기DUR성분영문명,병용금기주성분
[M083437]베실산암로디핀/[M095744]로수바스타틴칼슘/[M100608]말레인산암로디핀/[M100610]캄실산암로디핀/[M101934]암로디핀/[M102166]메실산암로디핀일수화물/[M102534]암로디핀오로트산염/[M222875]암로디핀베실산염/[M246033]암로디핀캄실산염/[M250821]암로디핀아디핀산염/[M250983]암로디핀말레산염/[M251079]암로디핀니코틴산염/[M254832]암로디핀메실산염일수화물/[M257408]암로디핀아디프산염/[M258559]로수바스타틴칼슘염/[M258703]피마사르탄칼륨삼수화물/[M264048]피마사르탄칼륨삼수화물과립/[M270546]로수바스타틴칼슘(미분화),복합,[D000152]Amlodipine(암로디핀)/[D000624]Fimasartan(피마사르탄),-,근육통|근육약화|근염|때때로횡문근변성을포함한근육독성촉진가능,-,Rosuvastatin,D000219,D000334,사이클로스포린,Cyclosporine,[A005971]시클로스포린/[M040068]마이크로에멀젼용시클로스포린/[M085282]사이클로스포린/[M085565]시클로스포린
[A001316]포스카르네트,단일,-,-,신장손상악화|저칼슘혈증이일어날수있음,-,Foscarnet,D001559,D001456,펜타미딘,Pentamidine,[A001296]펜타미딘
[M050465]메토클로프라미드/[M050466]염산메토클로프라미드/[M223013]메토클로프라미드염산염수화물,단일,-,-,레보도파의효과감소,-,Metoclopramide,D000425,D000302,레보도파,Levodopa,[A005039]엔타카폰/[M040122]레보도파/[M089172]카르비도파/[M256275]카르비도파수화물
[M083437]베실산암로디핀/[M089710]심바스타틴/[M100608]말레인산암로디핀/[M100610]캄실산암로디핀/[M101934]암로디핀/[M102166]메실산암로디핀일수화물/[M102534]암로디핀오로트산염/[M222875]암로디핀베실산염/[M246033]암로디핀캄실산염/[M250821]암로디핀아디핀산염/[M250983]암로디핀말레산염/[M251079]암로디핀니코틴산염/[M254832]암로디핀메실산염일수화물/[M257408]암로디핀아디프산염,복합,[D000152]Amlodipine(암로디핀),-,-횡문근융해증을포함하는근육병증의잠재적인가능성,-,Simvastatin,D000027,D001650,니르마트렐비르,Nirmatrelvir,[M259362]리토나비르/[M281904]니르마트렐비르
[M083437]베실산암로디핀/[M089710]심바스타틴/[M100608]말레인산암로디핀/[M100610]캄실산암로디핀/[M101934]암로디핀/[M102166]메실산암로디핀일수화물/[M102534]암로디핀오로트산염/[M222875]암로디핀베실산염/[M246033]암로디핀캄실산염/[M250821]암로디핀아디핀산염/[M250983]암로디핀말레산염/[M251079]암로디핀니코틴산염/[M254832]암로디핀메실산염일수화물/[M257408]암로디핀아디프산염,복합,[D000152]Amlodipine(암로디핀),-,횡문근융해를포함한근육병증위험가능,-,Simvastatin,D000027,D000626,로피나비르,Lopinavir,[M259361]로피나비르/[M259362]리토나비르
[I004369]아토르바스타틴칼슘수화물/[I004994]이르베사르탄/[M092285]이베사탄/[M093499]아토르바스타틴칼슘/[M213543]무수아토르바스타틴칼슘/[M215219]아토르바스타틴칼슘삼수화물/[M218956]아토르바스타틴삼수화물/[M244955]아토르바스타틴스트론튬/[M247057]아토르바스타틴칼슘염무수물/[M251687]아토르바스타틴칼슘/[M251853]이르베사르탄/[M255988]이르베사탄/[M256664]아토르바스타틴칼슘수화물/[M263837]아토르바스타틴,복합,[D000046]Irbesartan(이르베사르탄),-,횡문근융해증을포함한근육병증위험가능,-,Atorvastatin,D000455,D001362,글레카프레비르,Glecaprevir,[A001652]글레카프레비르/[A003331]피브렌타스비르/[M267076]피브렌타스비르/[M267082]글레카프레비르
[M051799]페노피브레이트/[M084105]프라바스타틴나트륨/[M092604]미세화페노피브레이트/[M095127]페노피브레이트펠렛/[M096854]미세화페노피브레이트구형과립/[M099150]페노피브레이트펠렛타입/[M099756]미세화페노피브레이트혼합분말/[M255612]페노피브릭산/[M256159]페노피브레이트콜린/[M257159]페노피브레이트과립(미분화)/[M260738]페노피브레이트(미분화),복합,[D000686]Fenofibrate(페노피브레이트),-,횡문근융해증을포함한근육관련이상반응보고,-,Pravastatin,D000305,D000619,푸시딘산,FusidicAcid,[M020165]푸시딘산나트륨/[M020229]푸시딘산
[M259362]리토나비르/[M281904]니르마트렐비르,복합,[D000712]Ritonavir(리토나비르),-,-서맥또는전도장애의가능성,-,Nirmatrelvir,D001650,D000571,이바브라딘,Ivabradine,[M245775]이바브라딘염산염
[M259362]리토나비르/[M281904]니르마트렐비르,복합,[D000712]Ritonavir(리토나비르),-,-바이러스반응의손실및내성발현의잠재적인가능성,-,Nirmatrelvir,D001650,D000314,리팜피신,Rifampicin,[A000830]에탐부톨/[M020042]리팜피신/[M040746]피라진아미드/[M223170]이소니아지드
[M083437]베실산암로디핀/[M090395]텔미사르탄/[M095744]로수바스타틴칼슘/[M100608]말레인산암로디핀/[M100610]캄실산암로디핀/[M101934]암로디핀/[M102166]메실산암로디핀일수화물/[M102534]암로디핀오로트산염/[M222875]암로디핀베실산염/[M246033]암로디핀캄실산염/[M250821]암로디핀아디핀산염/[M250983]암로디핀말레산염/[M251079]암로디핀니코틴산염/[M254832]암로디핀메실산염일수화물/[M257408]암로디핀아디프산염/[M258559]로수바스타틴칼슘염/[M264500]텔미사르탄파우더(23.9%)/[M270546]로수바스타틴칼슘(미분화),복합,[D000152]Amlodipine(암로디핀)/[D000485]Telmisartan(텔미사르탄),-,근육통|근육약화|근염|때때로횡문근변성을포함한근육독성촉진가능,-,Rosuvastatin,D000219,D000334,사이클로스포린,Cyclosporine,[A005971]시클로스포린/[M040068]마이크로에멀젼용시클로스포린/[M085282]사이클로스포린/[M085565]시클로스포린
