주성분,복합제구분,복합제성분,약효분류,금기내용,비고,DUR성분영문명,DUR성분코드,병용금기DUR성분코드,병용금기DUR성분명,병용금기DUR성분영문명,병용금기주성분
[M253921]릴피비린염산염,단일,-,기타의화학요법제,위장pH의증가로릴피비린의흡수가저하되어릴피비린의치료효과감소,-,RilpivirineHydrochloride,D000225,D000153,에스오메프라졸마그네슘삼수화물,EsomeprazoleMagnesiumTrihydrate,[M092321]에스오메프라졸마그네슘삼수화물
[M089710]심바스타틴,단일,-,동맥경화용제,근병증|횡문근융해의위험증가,-,Simvastatin,D000027,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M097492]에제티미브/[M089710]심바스타틴/[M097492]에제티미브/[M089710]심바스타틴,단일,-,동맥경화용제,근병증|횡문근융해의위험증가,-,Simvastatin,D000027,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M089710]심바스타틴/[M097492]에제티미브,단일,-,동맥경화용제,근병증|횡문근융해의위험증가,-,Simvastatin,D000027,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M211313]알프라졸람,단일,-,정신신경용제,alprazolam의혈장농도증가|수면및진정작용증강및연장,-,Alprazolam,D000660,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M051464]케토프로펜,단일,-,해열.진통.소염제,신세뇨관에서Methotrexate배설이지연되어Methotrexate의혈액학적독성증가,methotrexate1週에15mg이상투여시,Ketoprofen,D000672,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M081361]케토프로펜리신,단일,-,해열.진통.소염제,신세뇨관에서Methotrexate배설이지연되어Methotrexate의혈액학적독성증가,methotrexate1週에15mg이상투여시,KetoprofenLysin,D000672,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M086538]분무건조아시트레틴25%,단일,-,비타민A및D제,간독성,-,SprayDriedAcitretin25%,D000019,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M082086]테녹시캄,단일,-,해열.진통.소염제,혈액학적독성,methotrexate(1週에20mg이상투여시),Tenoxicam,D000060,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000226,메퀴타진,Mequitazine,[M050446]메퀴타진/[M257079]밸라돈나총알카로이드/[M256386]글리시리진산이칼륨/[M203364]슈도에페드린염산염/[M223183]카페인무수물
[M081091]돔페리돈,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,Domperidone,D000297,D000226,메퀴타진,Mequitazine,[M050446]메퀴타진/[M257079]밸라돈나총알카로이드/[M256386]글리시리진산이칼륨/[M203364]슈도에페드린염산염/[M223183]카페인무수물
[M222961]돔페리돈말레산염/[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000226,메퀴타진,Mequitazine,[M050446]메퀴타진/[M257079]밸라돈나총알카로이드/[M256386]글리시리진산이칼륨/[M203364]슈도에페드린염산염/[M223183]카페인무수물
[M081091]돔페리돈/[M081091]돔페리돈,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,Domperidone,D000297,D000226,메퀴타진,Mequitazine,[M050446]메퀴타진/[M257079]밸라돈나총알카로이드/[M256386]글리시리진산이칼륨/[M203364]슈도에페드린염산염/[M223183]카페인무수물
[M222961]돔페리돈말레산염/[M222961]돔페리돈말레산염/[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000226,메퀴타진,Mequitazine,[M050446]메퀴타진/[M257079]밸라돈나총알카로이드/[M256386]글리시리진산이칼륨/[M203364]슈도에페드린염산염/[M223183]카페인무수물
[M085595]말레인산돔페리돈,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000226,메퀴타진,Mequitazine,[M050446]메퀴타진/[M257079]밸라돈나총알카로이드/[M256386]글리시리진산이칼륨/[M203364]슈도에페드린염산염/[M223183]카페인무수물
[M085595]말레인산돔페리돈/[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000226,메퀴타진,Mequitazine,[M050446]메퀴타진/[M257079]밸라돈나총알카로이드/[M256386]글리시리진산이칼륨/[M203364]슈도에페드린염산염/[M223183]카페인무수물
[M222885]케토롤락트로메타민염,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000506,디클로페낙디에틸암모늄,DiclofenacDiethylammonium,[M249599]디클로페낙디에틸암모늄/[M249599]디클로페낙디에틸암모늄
[M084703]케토롤락트로메타민,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000506,디클로페낙디에틸암모늄,DiclofenacDiethylammonium,[M249599]디클로페낙디에틸암모늄/[M249599]디클로페낙디에틸암모늄
[M222885]케토롤락트로메타민염,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000506,디클로페낙에폴아민,DiclofenacEpolamine,[M102665]디클로페낙에폴아민
[M084703]케토롤락트로메타민,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000506,디클로페낙에폴아민,DiclofenacEpolamine,[M102665]디클로페낙에폴아민
[M088960]이오헥솔,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iohexol,D000669,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M251489]삭사글립틴수화물
[M088960]이오헥솔,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iohexol,D000669,D000718,메트포르민염산염,MetforminHydrochloride,[M283330]이나보글리플로진/[M244179]메트포르민염산염
[M086785]이오비트리돌,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iobitridol,D000760,D000718,메트포르민염산염,MetforminHydrochloride,[M283330]이나보글리플로진/[M244179]메트포르민염산염
[M088268]이오메프롤,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iomeprol,D000364,D000718,메트포르민염산염,MetforminHydrochloride,[M283330]이나보글리플로진/[M244179]메트포르민염산염
[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000078,그라니세트론,Granisetron,[M245313]그라니세트론
[M089710]심바스타틴/[M089710]심바스타틴,단일,-,동맥경화용제,근병증|횡문근융해의위험증가,-,Simvastatin,D000027,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M097492]에제티미브/[M089710]심바스타틴,단일,-,동맥경화용제,근병증|횡문근융해의위험증가,-,Simvastatin,D000027,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M084703]케토롤락트로메타민,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000544,살살레이트,Salsalate,[M099981]살살레이트
[M223014]메트포르민염산염/[M256664]아토르바스타틴칼슘수화물,복합,[D000718]Metformin(메트포르민),당뇨병용제,근육병증|횡문근융해위험증가가능,-,AtorvastatinCalciumHydrate,D000455,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M071634]피록시캄/[M071634]피록시캄,단일,-,진통.진양.수렴.소염제,신세뇨관에서Methotrexate배설이지연되어Methotrexate의혈액학적독성증가,methotrexate1週에15mg이상투여시,Piroxicam,D000309,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M071634]피록시캄/[M071634]피록시캄/[M071634]피록시캄,단일,-,진통.진양.수렴.소염제,신세뇨관에서Methotrexate배설이지연되어Methotrexate의혈액학적독성증가,methotrexate1週에15mg이상투여시,Piroxicam,D000309,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M071634]피록시캄/[M279284]L-멘톨/[M223240]토코페롤아세테이트,단일,-,진통.진양.수렴.소염제,신세뇨관에서Methotrexate배설이지연되어Methotrexate의혈액학적독성증가,methotrexate1週에15mg이상투여시,Piroxicam,D000309,D000716,메토트렉세이트,Methotrexate,[M040168]메토트렉세이트/[M040168]메토트렉세이트/[M040168]메토트렉세이트
[M222885]케토롤락트로메타민염,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000363,이부프로펜,Ibuprofen,[M051259]이부프로펜/[M103077]L-아르기닌
[M084703]케토롤락트로메타민,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000363,이부프로펜,Ibuprofen,[M051259]이부프로펜/[M103077]L-아르기닌
[M088960]이오헥솔,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iohexol,D000669,D000718,메트포르민염산염,MetforminHydrochloride,[M221584]빌다글립틴/[M223014]메트포르민염산염
[M086785]이오비트리돌,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iobitridol,D000760,D000718,메트포르민염산염,MetforminHydrochloride,[M221584]빌다글립틴/[M223014]메트포르민염산염
[M088268]이오메프롤,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iomeprol,D000364,D000718,메트포르민염산염,MetforminHydrochloride,[M221584]빌다글립틴/[M223014]메트포르민염산염
[M088268]이오메프롤,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iomeprol,D000364,D000718,메트포르민염산염,MetforminHydrochloride,[M235069]피오글리타존염산염/[M223014]메트포르민염산염
[M257644]에리트로마이신스티노프레이트,단일,-,주로그람양성|음성균|리케치아|비루스에작용하는것,병용을하여도항균작용이증가되지않음,-,ErythromycinStinoprate,D000256,D000713,염산린코마이신,LincomycinHydrochloride,[M020043]염산린코마이신
[M223130]에리트로마이신스테아르산염,단일,-,주로그람양성균|리케치아|비루스에작용하는것,병용을하여도항균작용이증가되지않음,-,ErythromycinStearate,D000256,D000713,염산린코마이신,LincomycinHydrochloride,[M020043]염산린코마이신
[M070676]발프로산나트륨,단일,-,항전간제,간질발작재발,-,SodiumValproate,D000535,D000122,메로페넴수화물,MeropenemHydrate,[M249596]메로페넴수화물/[M254183]무균메로페넴건조탄산나트륨/[M249596]메로페넴수화물/[M249596]메로페넴수화물
[M082087]디발프로엑스나트륨,단일,-,항전간제,간질발작재발,-,DivalproexSodium,D000535,D000122,메로페넴수화물,MeropenemHydrate,[M249596]메로페넴수화물/[M254183]무균메로페넴건조탄산나트륨/[M249596]메로페넴수화물/[M249596]메로페넴수화물
[M070676]발프로산나트륨/[M083547]발프로산,단일,-,항전간제,간질발작재발,-,SodiumValproate,D000535,D000122,메로페넴수화물,MeropenemHydrate,[M249596]메로페넴수화물/[M254183]무균메로페넴건조탄산나트륨/[M249596]메로페넴수화물/[M249596]메로페넴수화물
[M090172]발프로산마그네슘,단일,-,항전간제,간질발작재발,-,MagnesiumValproate,D000535,D000122,메로페넴수화물,MeropenemHydrate,[M249596]메로페넴수화물/[M254183]무균메로페넴건조탄산나트륨/[M249596]메로페넴수화물/[M249596]메로페넴수화물
[M083547]발프로산,단일,-,항전간제,간질발작재발,-,ValproicAcid,D000535,D000122,메로페넴수화물,MeropenemHydrate,[M249596]메로페넴수화물/[M254183]무균메로페넴건조탄산나트륨/[M249596]메로페넴수화물/[M249596]메로페넴수화물
[M222875]암로디핀베실산염/[M090403]발사르탄/[M256664]아토르바스타틴칼슘수화물,복합,[D000152]Amlodipine(암로디핀)/[D000011]Valsartan(발사르탄),기타의순환계용약,근육병증|횡문근융해위험증가가능,-,AtorvastatinCalciumHydrate,D000455,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M097492]에제티미브/[M215219]아토르바스타틴칼슘삼수화물,복합,[D000350]Ezetimibe(에제티미브),동맥경화용제,근질환위험증가,-,AtorvastatinCalciumTrihydrate,D000455,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M251687]아토르바스타틴칼슘/[M097492]에제티미브,복합,[D000350]Ezetimibe(에제티미브),동맥경화용제,근질환위험증가,-,AtorvastatinCalcium,D000455,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M215219]아토르바스타틴칼슘삼수화물/[M097492]에제티미브,복합,[D000350]Ezetimibe(에제티미브),동맥경화용제,근질환위험증가,-,AtorvastatinCalciumTrihydrate,D000455,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M256664]아토르바스타틴칼슘수화물/[M097492]에제티미브,복합,[D000350]Ezetimibe(에제티미브),동맥경화용제,근질환위험증가,-,AtorvastatinCalciumHydrate,D000455,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M215219]아토르바스타틴칼슘삼수화물/[M251853]이르베사르탄,복합,[D000046]Irbesartan(이르베사르탄),기타의순환계용약,근육병증|횡문근융해위험증가가능,-,AtorvastatinCalciumTrihydrate,D000455,D000769,케토코나졸,Ketoconazole,[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸/[M080618]케토코나졸
[M081091]돔페리돈,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,Domperidone,D000297,D000078,그라니세트론,Granisetron,[M245313]그라니세트론
[M222961]돔페리돈말레산염/[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000078,그라니세트론,Granisetron,[M245313]그라니세트론
[M081091]돔페리돈/[M081091]돔페리돈,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,Domperidone,D000297,D000078,그라니세트론,Granisetron,[M245313]그라니세트론
[M222961]돔페리돈말레산염/[M222961]돔페리돈말레산염/[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000078,그라니세트론,Granisetron,[M245313]그라니세트론
[M084703]케토롤락트로메타민,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000463,에토돌락,Etodolac,[M083240]에토돌락/[M083240]에토돌락
[M088960]이오헥솔,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iohexol,D000669,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M256664]아토르바스타틴칼슘수화물
[M086785]이오비트리돌,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iobitridol,D000760,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M256664]아토르바스타틴칼슘수화물
[M088268]이오메프롤,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iomeprol,D000364,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M256664]아토르바스타틴칼슘수화물
[M251166]아고멜라틴,단일,-,정신신경용제,아고멜라틴혈중농도증가,-,Agomelatine,D000735,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M242850]시프로플록사신염산염/[M223091]시프로플록사신염산염수화물
[M213126]덱스케토프로펜트로메타몰,단일,-,해열.진통.소염제,경련발생,-,DexketoprofenTrometamol,D000696,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M242850]시프로플록사신염산염/[M223091]시프로플록사신염산염수화물
[M222885]케토롤락트로메타민염,단일,-,해열.진통.소염제,상가적인위장관궤양|출혈의위험,-,KetorolacTromethamine,D000274,D000525,록소프로펜나트륨수화물,LoxoprofenSodiumHydrate,[M222839]록소프로펜나트륨수화물/[M222839]록소프로펜나트륨수화물/[M222839]록소프로펜나트륨수화물/[M222839]록소프로펜나트륨수화물/[M222839]록소프로펜나트륨수화물
[M084703]케토롤락트로메타민,단일,-,해열.진통.소염제,상가적인위장관궤양|출혈의위험,-,KetorolacTromethamine,D000274,D000525,록소프로펜나트륨수화물,LoxoprofenSodiumHydrate,[M222839]록소프로펜나트륨수화물/[M222839]록소프로펜나트륨수화물/[M222839]록소프로펜나트륨수화물/[M222839]록소프로펜나트륨수화물/[M222839]록소프로펜나트륨수화물
[M222885]케토롤락트로메타민염,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000363,이부프로펜,Ibuprofen,[M051259]이부프로펜/[M223183]카페인무수물/[M264046]DL-메틸에페드린염산염/[M222957]덱스트로메토르판브롬화수소산염수화물/[M050058]구아이페네신
[M084703]케토롤락트로메타민,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000363,이부프로펜,Ibuprofen,[M051259]이부프로펜/[M223183]카페인무수물/[M264046]DL-메틸에페드린염산염/[M222957]덱스트로메토르판브롬화수소산염수화물/[M050058]구아이페네신
[M088960]이오헥솔,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iohexol,D000669,D000718,메트포르민염산염,MetforminHydrochloride,[M257113]알로글립틴벤조산염/[M223014]메트포르민염산염
[M086785]이오비트리돌,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iobitridol,D000760,D000718,메트포르민염산염,MetforminHydrochloride,[M257113]알로글립틴벤조산염/[M223014]메트포르민염산염
[M088268]이오메프롤,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iomeprol,D000364,D000718,메트포르민염산염,MetforminHydrochloride,[M257113]알로글립틴벤조산염/[M223014]메트포르민염산염
[M248019]티자니딘염산염,단일,-,골격근이완제,저혈압에의해졸음|현기증및정신운동능력감소,-,TizanidineHydrochloride,D000187,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M083714]염산티자니딘,단일,-,진경제,저혈압에의해졸음|현기증및정신운동능력감소,-,TizanidineHydrochloride,D000187,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M051464]케토프로펜,단일,-,진통.진양.수렴.소염제,경련,-,Ketoprofen,D000672,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M051464]케토프로펜/[M051464]케토프로펜,단일,-,진통.진양.수렴.소염제,경련,-,Ketoprofen,D000672,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M081361]케토프로펜리신,단일,-,해열.진통.소염제,경련,-,KetoprofenLysin,D000672,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜,단일,-,진통.진양.수렴.소염제,경련,-,Ketoprofen,D000672,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜,단일,-,진통.진양.수렴.소염제,경련,-,Ketoprofen,D000672,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜,단일,-,진통.진양.수렴.소염제,경련,-,Ketoprofen,D000672,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜,단일,-,진통.진양.수렴.소염제,경련,-,Ketoprofen,D000672,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜/[M051464]케토프로펜,단일,-,진통.진양.수렴.소염제,경련,-,Ketoprofen,D000672,D000142,시프로플록사신염산염수화물,CiprofloxacinHydrochlorideHydrate,[M223091]시프로플록사신염산염수화물/[M101579]히드로코르티손
[M222885]케토롤락트로메타민염,단일,-,해열.진통.소염제,중증의위장관계이상반응,-,KetorolacTromethamine,D000274,D000463,에토돌락,Etodolac,[M083240]에토돌락/[M083240]에토돌락
[M084154]플루코나졸/[M084154]플루코나졸/[M084154]플루코나졸,단일,-,기타의화학요법제,맥각독성(혈관경련|말단및기타조직허혈등)위험증가,-,Fluconazole,D000517,D000747,에르고타민타르타르산염,ErgotamineTartrate,[M223126]에르고타민타르타르산염/[M223183]카페인무수물
[M084154]플루코나졸/[M084154]플루코나졸,단일,-,기타의화학요법제,맥각독성(혈관경련|말단및기타조직허혈등)위험증가,-,Fluconazole,D000517,D000747,에르고타민타르타르산염,ErgotamineTartrate,[M223126]에르고타민타르타르산염/[M223183]카페인무수물
[M086785]이오비트리돌,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iobitridol,D000760,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M258339]다파글리플로진프로판디올수화물
[M085595]말레인산돔페리돈,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000078,그라니세트론,Granisetron,[M245313]그라니세트론
[M085595]말레인산돔페리돈/[M222961]돔페리돈말레산염,단일,-,기타의소화기관용약,QTc연장효과증대로심각한위험(TorsadedePointes|심각한심실성부정맥포함)가능성,-,DomperidoneMaleate,D000297,D000078,그라니세트론,Granisetron,[M245313]그라니세트론
[M070676]발프로산나트륨,복합,[D000536]SodiumValproate(발프로산나트륨),항전간제,간질발작재발,-,SodiumValproate,D000535,D000757,이미페넴,Imipenem,[M222879]이미페넴수화물/[M095530]실라스타틴나트륨/[M082600]이미페넴/[M095530]실라스타틴나트륨/[M252000]이미페넴수화물ㆍ실라스타틴나트륨
[M070676]발프로산나트륨/[M083547]발프로산,복합,[D000536]SodiumValproate(발프로산나트륨),항전간제,간질발작재발,-,SodiumValproate,D000535,D000757,이미페넴,Imipenem,[M222879]이미페넴수화물/[M095530]실라스타틴나트륨/[M082600]이미페넴/[M095530]실라스타틴나트륨/[M252000]이미페넴수화물ㆍ실라스타틴나트륨
[M082087]디발프로엑스나트륨,단일,-,항전간제,간질발작재발,-,DivalproexSodium,D000535,D000757,이미페넴,Imipenem,[M222879]이미페넴수화물/[M095530]실라스타틴나트륨/[M082600]이미페넴/[M095530]실라스타틴나트륨/[M252000]이미페넴수화물ㆍ실라스타틴나트륨
[M090172]발프로산마그네슘,단일,-,항전간제,간질발작재발,-,MagnesiumValproate,D000535,D000757,이미페넴,Imipenem,[M222879]이미페넴수화물/[M095530]실라스타틴나트륨/[M082600]이미페넴/[M095530]실라스타틴나트륨/[M252000]이미페넴수화물ㆍ실라스타틴나트륨
[M083547]발프로산,단일,-,항전간제,간질발작재발,-,ValproicAcid,D000535,D000757,이미페넴,Imipenem,[M222879]이미페넴수화물/[M095530]실라스타틴나트륨/[M082600]이미페넴/[M095530]실라스타틴나트륨/[M252000]이미페넴수화물ㆍ실라스타틴나트륨
[M086785]이오비트리돌,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iobitridol,D000760,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M251489]삭사글립틴수화물
[M088268]이오메프롤,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iomeprol,D000364,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M251489]삭사글립틴수화물
[M088960]이오헥솔,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iohexol,D000669,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M258339]다파글리플로진프로판디올수화물
[M088268]이오메프롤,단일,-,X선조영제,기능적신부전에의해유산산성증촉진,-,Iomeprol,D000364,D000718,메트포르민염산염,MetforminHydrochloride,[M223014]메트포르민염산염/[M258339]다파글리플로진프로판디올수화물
[M084154]플루코나졸,단일,-,기타의화학요법제,맥각독성(혈관경련|말단및기타조직허혈등)위험증가,-,Fluconazole,D000517,D000747,에르고타민타르타르산염,ErgotamineTartrate,[M223126]에르고타민타르타르산염/[M223183]카페인무수물
[M222836]독시사이클린수화물,단일,-,주로그람양성|음성균|리케치아|비루스에작용하는것,두개내고혈압,-,DoxycyclineHydrate,D000503,D000758,이소트레티노인,Isotretinoin,[M088250]이소트레티노인/[M223129]에리트로마이신
[M020027]독시사이클린하이클레이트,단일,-,주로그람양성|음성균|리케치아|비루스에작용하는것,두개내고혈압,-,DoxycyclineHyclate,D000503,D000758,이소트레티노인,Isotretinoin,[M088250]이소트레티노인/[M223129]에리트로마이신
[M222960]독시사이클린하이클레이트수화물,단일,-,주로그람양성|음성균|리케치아|비루스에작용하는것,두개내고혈압,-,DoxycyclineHyclateHydrate,D000503,D000758,이소트레티노인,Isotretinoin,[M088250]이소트레티노인/[M223129]에리트로마이신
[M222960]독시사이클린하이클레이트수화물/[M222960]독시사이클린하이클레이트수화물,단일,-,주로그람양성|음성균|리케치아|비루스에작용하는것,두개내고혈압,-,DoxycyclineHyclateHydrate,D000503,D000758,이소트레티노인,Isotretinoin,[M088250]이소트레티노인/[M223129]에리트로마이신
[M088774]희석니트로글리세린,단일,-,혈관확장제,맥각독성(말초허혈|감각이상|구역|구토)위험증가,소생등의위급상황제외,DiluteNitroglycerin,D000215,D000747,에르고타민타르타르산염,ErgotamineTartrate,[M223126]에르고타민타르타르산염/[M223183]카페인무수물
